SOC,OCV
0,2.5
0.00020004,2.5275
0.00040008,2.5519
0.00060012,2.5737
0.00080016,2.593
0.0010002,2.6104
0.0012002,2.6258
0.0014003,2.6399
0.0016003,2.6527
0.0018004,2.6644
0.0020004,2.6751
0.0022004,2.6852
0.0024005,2.6946
0.0026005,2.7034
0.0028006,2.7117
0.0030006,2.7197
0.0032006,2.7272
0.0034007,2.7345
0.0036007,2.7414
0.0038008,2.7481
0.0040008,2.7546
0.0042008,2.7608
0.0044009,2.7669
0.0046009,2.7728
0.004801,2.7785
0.005001,2.7841
0.005201,2.7896
0.0054011,2.795
0.0056011,2.8002
0.0058012,2.8053
0.0060012,2.8103
0.0062012,2.8153
0.0064013,2.8202
0.0066013,2.8249
0.0068014,2.8296
0.0070014,2.8342
0.0072014,2.8387
0.0074015,2.8432
0.0076015,2.8476
0.0078016,2.8519
0.0080016,2.8562
0.0082016,2.8603
0.0084017,2.8645
0.0086017,2.8686
0.0088018,2.8726
0.0090018,2.8766
0.0092018,2.8805
0.0094019,2.8843
0.0096019,2.8882
0.009802,2.8919
0.010002,2.8956
0.010202,2.8993
0.010402,2.903
0.010602,2.9066
0.010802,2.9101
0.011002,2.9136
0.011202,2.9171
0.011402,2.9205
0.011602,2.9239
0.011802,2.9273
0.012002,2.9306
0.012202,2.9339
0.012402,2.937
0.012603,2.9403
0.012803,2.9435
0.013003,2.9467
0.013203,2.9498
0.013403,2.9529
0.013603,2.9559
0.013803,2.959
0.014003,2.9619
0.014203,2.9649
0.014403,2.9678
0.014603,2.9708
0.014803,2.9736
0.015003,2.9765
0.015203,2.9793
0.015403,2.9821
0.015603,2.9849
0.015803,2.9876
0.016003,2.9903
0.016203,2.993
0.016403,2.9957
0.016603,2.9984
0.016803,3.001
0.017003,3.0036
0.017203,3.0062
0.017403,3.0088
0.017604,3.0113
0.017804,3.0138
0.018004,3.0164
0.018204,3.0188
0.018404,3.0213
0.018604,3.0237
0.018804,3.0261
0.019004,3.0285
0.019204,3.0309
0.019404,3.0333
0.019604,3.0356
0.019804,3.038
0.020004,3.0403
0.020204,3.0426
0.020404,3.0448
0.020604,3.0471
0.020804,3.0493
0.021004,3.0516
0.021204,3.0537
0.021404,3.0559
0.021604,3.0581
0.021804,3.0603
0.022004,3.0624
0.022204,3.0646
0.022404,3.0666
0.022605,3.0688
0.022805,3.0708
0.023005,3.0729
0.023205,3.0749
0.023405,3.077
0.023605,3.079
0.023805,3.081
0.024005,3.083
0.024205,3.085
0.024405,3.0869
0.024605,3.0888
0.024805,3.0908
0.025005,3.0927
0.025205,3.0946
0.025405,3.0965
0.025605,3.0984
0.025805,3.1002
0.026005,3.1021
0.026205,3.1039
0.026405,3.1058
0.026605,3.1076
0.026805,3.1094
0.027005,3.1112
0.027205,3.113
0.027405,3.1147
0.027606,3.1165
0.027806,3.1182
0.028006,3.1199
0.028206,3.1217
0.028406,3.1234
0.028606,3.1251
0.028806,3.1268
0.029006,3.1285
0.029206,3.1302
0.029406,3.1318
0.029606,3.1334
0.029806,3.1351
0.030006,3.1367
0.030206,3.1383
0.030406,3.1399
0.030606,3.1415
0.030806,3.1431
0.031006,3.1446
0.031206,3.1461
0.031406,3.1477
0.031606,3.1492
0.031806,3.1507
0.032006,3.1523
0.032206,3.1537
0.032406,3.1552
0.032607,3.1567
0.032807,3.1582
0.033007,3.1596
0.033207,3.161
0.033407,3.1625
0.033607,3.1638
0.033807,3.1653
0.034007,3.1667
0.034207,3.1681
0.034407,3.1694
0.034607,3.1708
0.034807,3.1722
0.035007,3.1735
0.035207,3.1748
0.035407,3.1761
0.035607,3.1774
0.035807,3.1787
0.036007,3.18
0.036207,3.1813
0.036407,3.1825
0.036607,3.1838
0.036807,3.185
0.037007,3.1862
0.037207,3.1874
0.037407,3.1886
0.037608,3.1898
0.037808,3.1909
0.038008,3.1921
0.038208,3.1932
0.038408,3.1944
0.038608,3.1955
0.038808,3.1966
0.039008,3.1977
0.039208,3.1988
0.039408,3.1998
0.039608,3.2009
0.039808,3.2019
0.040008,3.2029
0.040208,3.2039
0.040408,3.2049
0.040608,3.2059
0.040808,3.2069
0.041008,3.2078
0.041208,3.2088
0.041408,3.2097
0.041608,3.2106
0.041808,3.2115
0.042008,3.2124
0.042208,3.2133
0.042408,3.2142
0.042609,3.215
0.042809,3.2158
0.043009,3.2167
0.043209,3.2175
0.043409,3.2183
0.043609,3.2191
0.043809,3.2199
0.044009,3.2206
0.044209,3.2214
0.044409,3.2221
0.044609,3.2229
0.044809,3.2236
0.045009,3.2243
0.045209,3.225
0.045409,3.2257
0.045609,3.2264
0.045809,3.2271
0.046009,3.2277
0.046209,3.2284
0.046409,3.229
0.046609,3.2297
0.046809,3.2303
0.047009,3.2309
0.047209,3.2315
